palabra,media_agrado,media_activacion,media_imaginabilidad,sd_agrado,sd_activacion,sd_imaginabilidad,tipo
respuesta,2.1667,2.8333,1.8333,0.4082,0.4082,0.7528,sustantivo
acción,2.6,3,2.8,0.5477,0,0.4472,sustantivo
necesario,2,1.8,1.6,0.7071,0.4472,0.8944,adjetivo
natural,2.2,2,2.4,0.4472,0,0.5477,adjetivo
autor,2.2,2.6,3,0.4472,0.5477,0,sustantivo
soledad,1.4,1.2,3,0.5477,0.4472,0,sustantivo
malo,1,2.2,3,0,0.4472,0,adjetivo
oficial,2,2.2,2,0,0.4472,0.7071,adjetivo
televisión,2.2,1.8,3,0.4472,0.8367,0,sustantivo
cabo,1.8,1.6,2.4,0.4472,0.5477,0.8944,sustantivo
todavía,2.4,1.8,1.8,0.5477,0.8367,0.8367,adverbio
geografía,2.2,1.8,2.4,0.4472,0.4472,0.5477,sustantivo
económico,2.2,1.8,2.6,0.4472,0.4472,0.8944,adjetivo
favor,2.6,2.8,2.6,0.5477,0.4472,0.5477,sustantivo
jamás,1.8,2,2.2,0.4472,0.7071,0.8367,adverbio
director,2,2.4,2.8,0,0.5477,0.4472,sustantivo
habitación,2,2,3,0,0,0,sustantivo
género,2,1.8,2,0,0.4472,0.7071,sustantivo
comunidad,2.6,2,3,0.5477,0,0,sustantivo
cierto,2.4,2.2,1.8,0.5477,0.4472,0.8367,adjetivo
puerto,2.4,1.8,2.8,0.5477,0.4472,0.4472,sustantivo
deseo,2.4,3,2.4,0.5477,0,0.8944,sustantivo
posición,2.2,2.2,2.4,0.4472,0.8367,0.5477,sustantivo
década,2.2,2,2.2,0.4472,0.7071,1.0954,sustantivo
verde,2.4,2.2,3,0.5477,0.4472,0,adjetivo
dedo,2.2,2.2,3,0.4472,0.4472,0,sustantivo
esposo,1.8,2.4,2.8,0.4472,0.5477,0.4472,sustantivo
pared,1.6,1.8,3,0.5477,0.8367,0,sustantivo
barrio,2.4,2.4,3,0.5477,0.8944,0,sustantivo
efecto,2.4,2.8,1.6,0.5477,0.4472,0.8944,sustantivo
parque,2.8,2.2,3,0.4472,0.8367,0,sustantivo
fiesta,2.4,2.8,3,0.5477,0.4472,0,sustantivo
negro,2.4,2.4,3,0.5477,0.5477,0,sustantivo
perro,2.2,2.6,3,0.8367,0.5477,0,sustantivo
fuente,2.2,1.2,3,0.4472,0.4472,0,sustantivo
segundo,2,1.6,1.8,0,0.5477,0.8367,sustantivo
memoria,2.2,2.4,2,0.4472,0.8944,1,sustantivo
cultura,2.8,2.6,2,0.4472,0.5477,1,sustantivo
resultado,2.2,1.6,1.8,0.4472,0.8944,0.8367,sustantivo
nuevamente,2,1.8,1.8,0,0.4472,1.0954,adverbio
pecho,2.1667,1.3333,3,0.4082,0.5164,0,sustantivo
profesor,2.2,2.2,3,0.4472,0.8367,0,sustantivo
capital,2.4,1.8,2.4,0.5477,0.8367,0.8944,sustantivo
existencia,2.6,2,1.8,0.5477,0.7071,0.8367,sustantivo
episodio,2.2,2,2.4,0.4472,0.7071,0.8944,sustantivo
verdadero,3,2.4,1.8,0,0.5477,0.4472,adjetivo
figura,2,2,2.8,0,0.7071,0.4472,sustantivo
jefe,1.6,2.6,3,0.5477,0.5477,0,sustantivo
pena,1.2,1.8,2.2,0.4472,1.0954,1.0954,sustantivo
carta,2,2.4,3,0,0.5477,0,sustantivo
atrás,1.8,1.8,2.6,0.4472,0.4472,0.5477,adverbio
grito,1.4,3,3,0.5477,0,0,sustantivo
demasiado,1.6,1.8,2,0.5477,0.4472,0.7071,adverbio
elección,2.2,2.8,2,0.4472,0.4472,0.7071,sustantivo
acto,2,2.8,2.2,0,0.4472,0.8367,sustantivo
modelo,2.2,2,2.4,0.4472,0.7071,0.5477,sustantivo
jugador,2.8,3,3,0.4472,0,0,sustantivo
libertad,3,2.8,2.6,0,0.4472,0.8944,sustantivo
espalda,2.2,1.6,2.8,0.4472,0.5477,0.4472,sustantivo
sitio,2.2,1.4,2.2,0.4472,0.5477,0.8367,sustantivo
escritor,3,3,3,0,0,0,sustantivo
siquiera,2,1.6,1.2,0,0.5477,0.4472,adverbio
cantidad,2,2,2.2,0,0.7071,0.8367,sustantivo
unión,2.8,2.4,2.4,0.4472,0.8944,0.8944,sustantivo
apenas,2,1.8333,2.1667,0,0.4082,0.7528,adverbio
arma,1,2.6,3,0,0.5477,0,sustantivo
distancia,1.8,1.6,2.8,0.4472,0.5477,0.4472,sustantivo
simple,2.8,2.2,2.8,0.4472,0.4472,0.4472,adjetivo
teatro,3,2.6,3,0,0.8944,0,sustantivo
par,2.6,2.2,3,0.5477,0.8367,0,sustantivo
futuro,2.4,1.8,1.8,0.5477,0.4472,1.0954,sustantivo
eterno,2.8,2.2,2,0.4472,0.4472,1,adjetivo
condición,2,1.8,1.8,0,0.4472,0.8367,sustantivo
militar,1,2.4,2.6,0,0.8944,0.8944,adjetivo
cuento,3,2.2,3,0,0.8367,0,sustantivo
ángel,2.4,1.8,2.4,0.8944,0.8367,0.8944,sustantivo
golpe,1.2,2.4,3,0.4472,0.8944,0,sustantivo
objeto,2.2,1.6,2.2,0.4472,0.5477,0.8367,sustantivo
organización,2,2.4,2.6,0.7071,0.5477,0.5477,sustantivo
abuelo,2.8,2,3,0.4472,1,0,sustantivo
radio,2.6,2,3,0.5477,0.7071,0,sustantivo
